"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 21 00:43:23 BST 2021","Wed Jul 21 00:43:23 BST 2021","0","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","I see carousel item displayed with model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""",""
"passed","Wed Jul 21 01:09:31 BST 2021","Wed Jul 21 01:09:39 BST 2021","8015","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","Then I see carousel item displayed with model name ""XC40 Recharge"" and recharge type ""pure electric""","Then I see carousel item displayed with model name ""XC40 Recharge"" and recharge type ""pure electric""",""
"passed","Wed Jul 21 01:10:21 BST 2021","Wed Jul 21 01:10:29 BST 2021","8018","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 01:10:08 BST 2021","Wed Jul 21 01:10:16 BST 2021","8019","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 01:11:32 BST 2021","Wed Jul 21 01:11:32 BST 2021","59","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I validate main menu item ""Own"" in side nav bar","Then I validate main menu item ""Own"" in side nav bar",""
"passed","Wed Jul 21 01:17:00 BST 2021","Wed Jul 21 01:17:38 BST 2021","38250","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav",""
"passed","Wed Jul 21 01:09:04 BST 2021","Wed Jul 21 01:09:08 BST 2021","4143","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:12:48 BST 2021","Wed Jul 21 01:12:56 BST 2021","8014","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 01:19:04 BST 2021","Wed Jul 21 01:19:06 BST 2021","1099","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","When I click main menu item ""Explore"" in side nav bar","When I click main menu item ""Explore"" in side nav bar",""
"passed","Wed Jul 21 00:36:02 BST 2021","Wed Jul 21 00:36:10 BST 2021","8014","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","Then I see carousel item displayed with model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""",""
